Dates,XAU Curncy,XAG Curncy,XPD Curncy,XPT Curncy,USSA1 Curncy,USYC2Y10 Index,CHF Curncy,CNY Curncy,GBP Curncy,EUR Curncy,AUD Curncy,INDU Index,VIX Index
1/1/1990,401.25,5.2165,#N/A N/A,504,#N/A N/A,9.45,1.541,4.7339,1.6125,1.2273,0.789,2753.2,#N/A N/A
2/1/1990,399,5.21,#N/A N/A,504,#N/A N/A,5.45,1.5768,4.7339,1.61,1.2146,0.7865,2810.15,17.24
3/1/1990,395,5.16,#N/A N/A,504,#N/A N/A,4.65,1.5785,4.7339,1.6125,1.2096,0.7837,2809.73,18.19
4/1/1990,396.5,5.19,#N/A N/A,475.5,#N/A N/A,6.15,1.542,4.7339,1.6355,1.2287,0.7894,2796.08,19.22
5/1/1990,405,5.19,#N/A N/A,475.5,#N/A N/A,9.95,1.537,4.7339,1.637,1.2358,0.785,2773.25,20.11
8/1/1990,404.6,5.28,#N/A N/A,492.5,#N/A N/A,11.85,1.5238,4.7339,1.653,1.2452,0.7858,2794.37,20.26
9/1/1990,403.45,5.24,#N/A N/A,492.5,#N/A N/A,11.55,1.527,4.7339,1.658,1.2356,0.7874,2766,22.2
10/1/1990,409.1,5.26,#N/A N/A,492.5,#N/A N/A,13.75,1.5125,4.7339,1.6625,1.2361,0.7897,2750.64,22.44
11/1/1990,412.1,5.31,#N/A N/A,492.75,#N/A N/A,12.35,1.516,4.7339,1.661,1.2367,0.7929,2760.67,20.05
12/1/1990,416.25,5.33,#N/A N/A,492.75,#N/A N/A,15.75,1.4945,4.7339,1.661,1.2409,0.7932,2689.21,24.64
15/1/1990,415.6,5.33,#N/A N/A,500.5,#N/A N/A,16.55,1.513,4.7339,1.667,1.2317,0.7937,2669.37,26.34
16/1/1990,412.75,5.22,#N/A N/A,500.5,#N/A N/A,9.85,1.5165,4.7339,1.658,1.2271,0.7925,2692.62,24.18
17/1/1990,410.4,5.22,#N/A N/A,500.5,#N/A N/A,13.75,1.5067,4.7339,1.6533,1.2343,0.795,2659.13,24.16
18/1/1990,413.4,5.27,#N/A N/A,497.5,#N/A N/A,7.15,1.5185,4.7339,1.6433,1.221,0.7962,2666.38,24.34
19/1/1990,408.65,5.2,#N/A N/A,497.5,#N/A N/A,6.95,1.5145,4.7339,1.6475,1.2182,0.7946,2677.9,22.5
22/1/1990,406,5.2,#N/A N/A,495.75,#N/A N/A,13.45,1.532,4.7339,1.6376,1.2118,0.796,2600.45,26.7
23/1/1990,408.25,5.26,#N/A N/A,495.75,#N/A N/A,11.45,1.508,4.7339,1.6535,1.2253,0.7767,2615.32,24.72
24/1/1990,420.75,5.28,#N/A N/A,495.75,#N/A N/A,13.05,1.4965,4.7339,1.6529,1.2373,0.7658,2604.5,25.39
25/1/1990,415.65,5.22,#N/A N/A,498.75,#N/A N/A,16.75,1.488,4.7339,1.6597,1.2312,0.7613,2561.04,25.63
26/1/1990,418,5.27,#N/A N/A,498.75,#N/A N/A,20.05,1.498,4.7339,1.6632,1.2334,0.7712,2559.23,26.28
29/1/1990,418.75,5.25,#N/A N/A,507.76,#N/A N/A,21.15,1.486,4.7339,1.6815,1.2446,0.764,2553.38,26.44
30/1/1990,418.15,5.2,#N/A N/A,507.76,#N/A N/A,22.05,1.491,4.7339,1.6695,1.2433,0.768,2543.24,27.25
31/1/1990,415.05,5.2,#N/A N/A,507.76,#N/A N/A,16.35,1.504,4.7339,1.678,1.2369,0.7736,2590.54,25.36
1/2/1990,415.8,5.2,#N/A N/A,513,#N/A N/A,13.25,1.4982,4.7339,1.685,1.2395,0.7731,2586.26,24.87
2/2/1990,417.95,5.31,#N/A N/A,513,#N/A N/A,15.25,1.497,4.7339,1.684,1.2352,0.776,2602.7,24.32
5/2/1990,423,5.32,#N/A N/A,510.25,#N/A N/A,16.05,1.4802,4.7339,1.701,1.247,0.7687,2622.52,24.54
6/2/1990,421.05,5.31,#N/A N/A,510.25,#N/A N/A,17.75,1.4769,4.7339,1.703,1.2568,0.767,2606.31,24.69
7/2/1990,423.75,5.3,#N/A N/A,510.25,#N/A N/A,15.15,1.4815,4.7339,1.696,1.2574,0.7592,2640.09,24.29
8/2/1990,418,5.32,#N/A N/A,511.13,#N/A N/A,11.45,1.4948,4.7339,1.6945,1.2461,0.756,2644.37,23.77
9/2/1990,415.5,5.31,#N/A N/A,511.13,#N/A N/A,7.15,1.497,4.7339,1.696,1.2427,0.7519,2648.2,23.69
12/2/1990,418.85,5.3,#N/A N/A,508.25,#N/A N/A,10.55,1.4958,4.7339,1.693,1.2477,0.7532,2619.14,24.38
13/2/1990,418.05,5.33,#N/A N/A,508.25,#N/A N/A,12.85,1.497,4.7339,1.6905,1.2407,0.7506,2624.1,23.76
14/2/1990,414.6,5.28,#N/A N/A,508.25,#N/A N/A,11.05,1.4923,4.7339,1.6908,1.246,0.746,2624.32,22.05
15/2/1990,416.65,5.34,#N/A N/A,517.38,#N/A N/A,8.95,1.4955,4.7339,1.6858,1.2409,0.7526,2649.55,19.71
16/2/1990,416.5,5.32,#N/A N/A,517.38,#N/A N/A,8.95,1.4935,4.7339,1.6985,1.2382,0.7577,2635.59,20.78
19/2/1990,416.5,5.33,#N/A N/A,519.75,#N/A N/A,11.85,1.488,4.7339,1.7035,1.2444,0.7615,2635.59,20.78
20/2/1990,419.95,5.35,#N/A N/A,519.75,#N/A N/A,13.55,1.485,4.7339,1.712,1.2449,0.7592,2596.85,22.78
21/2/1990,420,5.33,#N/A N/A,519.75,#N/A N/A,11.85,1.4747,4.7339,1.7145,1.2513,0.7685,2583.56,23.89
22/2/1990,417.65,5.28,#N/A N/A,531.75,#N/A N/A,10.85,1.4725,4.7339,1.714,1.2497,0.764,2574.77,22.54
23/2/1990,415.85,5.25,#N/A N/A,531.75,#N/A N/A,12.35,1.477,4.7339,1.711,1.2446,0.768,2564.19,23.69
26/2/1990,411.3,5.23,#N/A N/A,522.5,#N/A N/A,9.75,1.487,4.7339,1.692,1.2364,0.7684,2602.48,23.56
27/2/1990,407.55,5.17,#N/A N/A,522.5,#N/A N/A,7.85,1.4833,4.7339,1.69,1.2395,0.7575,2617.12,22.69
28/2/1990,407.7,5.12,#N/A N/A,522.5,#N/A N/A,9.35,1.4915,4.7339,1.6775,1.2341,0.7606,2627.25,21.99
1/3/1990,406.3,5.14,#N/A N/A,509.75,#N/A N/A,6.45,1.506,4.7339,1.6645,1.2232,0.7655,2635.59,21.9
2/3/1990,405.05,5.14,#N/A N/A,509.75,#N/A N/A,6.45,1.5135,4.7339,1.648,1.2207,0.7621,2660.36,21.34
5/3/1990,403.2,5.12,#N/A N/A,508.25,#N/A N/A,7.15,1.5,4.7339,1.645,1.2278,0.7607,2649.55,22.03
6/3/1990,405.35,5.13,#N/A N/A,508.25,#N/A N/A,4.65,1.4995,4.7339,1.648,1.23,0.7631,2676.8,20.55
7/3/1990,400.5,5.14,#N/A N/A,508.25,#N/A N/A,4.65,1.5067,4.7339,1.647,1.2249,0.7623,2669.59,19.1
8/3/1990,400.7,5.14,#N/A N/A,509.5,#N/A N/A,-3.25,1.5093,4.7339,1.6395,1.2284,0.763,2696.17,19.74
9/3/1990,399.3,5.1,#N/A N/A,509.5,#N/A N/A,-5.95,1.5123,4.7339,1.617,1.2287,0.761,2683.33,20.3
12/3/1990,401.25,5.12,#N/A N/A,505.25,#N/A N/A,-6.15,1.5239,4.7339,1.6125,1.2252,0.7597,2686.71,20.07
13/3/1990,397.25,5.05,#N/A N/A,505.25,#N/A N/A,-3.55,1.528,4.7339,1.6087,1.217,0.7645,2674.55,21.05
14/3/1990,398.75,5.08,#N/A N/A,505.25,#N/A N/A,-4.45,1.527,4.7339,1.6095,1.2223,0.7642,2687.84,19.65
15/3/1990,399.5,5.09,#N/A N/A,499.88,#N/A N/A,-5.65,1.522,4.7339,1.6255,1.2246,0.7585,2695.72,18.81
16/3/1990,400.65,5.11,#N/A N/A,499.88,#N/A N/A,-7.15,1.5095,4.7339,1.619,1.2335,0.7545,2741.22,17.62
19/3/1990,402.1,5.12,#N/A N/A,502.75,#N/A N/A,-9.15,1.5087,4.7339,1.614,1.2439,0.7565,2755.63,18.29
