,Dates,XAU Curncy,XAG Curncy,XPD Curncy,XPT Curncy,USSA1 Curncy,USYC2Y10 Index,CHF Curncy,CNY Curncy,GBP Curncy,EUR Curncy,AUD Curncy,INDU Index,VIX Index
1843,23/1/1997,352.0,4.87,121.1,356.65,5.93,52.8,1.4126,8.2954,1.6321,1.1969,0.7723,6755.74,18.47
1844,24/1/1997,352.35,4.97,123.0,358.75,5.94,51.95,1.405,8.2951,1.6288,1.2057,0.7727,6696.48,19.33
1845,27/1/1997,356.25,5.04,123.3,360.25,5.97,63.6,1.4299,8.2948,1.6230000000000002,1.198,0.7725,6660.69,20.16
1846,28/1/1997,353.25,4.96,122.25,356.75,5.93,60.85,1.4265,8.2944,1.6175,1.1878,0.7695,6656.07,20.74
1847,29/1/1997,351.25,4.94,122.25,355.05,5.92,62.5,1.4266,8.2944,1.6175,1.1926,0.7703,6740.73,20.23
1848,30/1/1997,345.6,4.94,121.25,351.75,5.91,67.8,1.4239,8.2938,1.614,1.1955,0.7654,6823.86,19.47
1849,31/1/1997,344.35,4.92,124.15,349.25,5.85,61.95,1.4225,8.2928,1.6024,1.1966,0.7624,6813.08,19.47
1850,3/2/1997,346.65,4.91,126.8,351.95,5.82,59.05,1.4184,8.2931,1.6202,1.1906,0.7655,6806.16,19.58
1851,4/2/1997,344.25,4.86,127.75,351.25,5.82,53.25,1.4291,8.2927,1.6206,1.1922,0.7638,6833.48,19.43
1852,5/2/1997,344.45,4.88,127.75,352.25,5.84,56.6,1.4242,8.2925,1.6445,1.1877,0.7638,6746.89,21.06
1853,6/2/1997,342.45,4.84,130.75,350.75,5.84,63.4,1.4269999999999998,8.2918,1.636,1.1871,0.7645,6773.06,20.16
1854,7/2/1997,341.95,4.96,133.0,352.3,5.8,54.9,1.4285,8.2918,1.6280000000000001,1.1725,0.7613,6855.8,18.9
1855,10/2/1997,341.05,4.96,135.85,355.9,5.79,53.9,1.4269999999999998,8.2916,1.6408,1.1829,0.7575,6806.54,20.65
1856,11/2/1997,339.85,4.84,134.25,355.1,5.79,54.95,1.4376,8.2916,1.6366,1.1727,0.7581,6858.11,19.97
1857,12/2/1997,342.85,5.13,137.75,368.5,5.8,60.8,1.455,8.2916,1.6318,1.1646,0.7608,6961.63,19.48
1858,13/2/1997,341.0,5.14,137.5,366.0,5.76,54.6,1.4546,8.2922,1.6228,1.1612,0.7657,7022.43,19.23
1859,14/2/1997,345.2,5.26,134.25,368.0,5.73,50.35,1.4665,8.2922,1.6232,1.161,0.7653,6988.95,19.18
1860,17/2/1997,344.25,5.21,133.5,363.63,5.73,49.75,1.4845,8.2926,1.6152,1.1523,0.7659999999999999,6988.95,19.18
1861,18/2/1997,345.65,5.23,134.5,367.9,5.73,46.95,1.4712,8.2921,1.6075,1.1565,0.7646,7067.46,19.7
1862,19/2/1997,345.25,5.18,133.5,365.65,5.76,47.6,1.4868,8.2945,1.6171,1.1539,0.7679,7020.12,20.61
1863,20/2/1997,350.75,5.24,133.5,368.4,5.78,54.95,1.4745,8.2939,1.6136,1.1584,0.7734,6927.38,21.41
1864,21/2/1997,352.25,5.2,136.25,370.2,5.77,52.1,1.4718,8.2941,1.6188,1.1627,0.7776,6931.61,20.55
1865,24/2/1997,353.45,5.21,139.0,373.75,5.79,52.1,1.4565,8.2945,1.6345,1.1718,0.7775,7008.19,19.84
1866,25/2/1997,354.25,5.23,141.35,377.0,5.81,34.75,1.4597,8.294,1.6355,1.167,0.7751,7038.21,19.98
1867,26/2/1997,354.25,5.21,147.25,382.5,5.92,47.15,1.4802,8.2946,1.6336,1.1582,0.7754,6983.18,20.74
1868,27/2/1997,359.15,5.25,155.25,393.0,5.97,46.85,1.4725,8.296,1.6258,1.1574,0.7758,6925.07,21.08
1869,28/2/1997,363.45,5.33,153.0,392.5,5.98,45.75,1.479,8.2954,1.6286,1.1573,0.7785,6877.73,21.1
1870,3/3/1997,361.8,5.29,154.0,388.0,6.0,44.7,1.4788,8.296,1.6166,1.1534,0.7883,6918.91,20.89
1871,4/3/1997,358.95,5.23,149.5,386.0,6.02,52.3,1.4863,8.295,1.6145,1.1436,0.7887,6852.72,20.62
1872,5/3/1997,352.95,5.22,144.5,380.0,6.0,43.0,1.4828,8.295,1.6145,1.1422,0.7841,6945.85,19.49
1873,6/3/1997,352.15,5.2,149.75,383.3,6.04,56.35,1.4808,8.2962,1.6157,1.1386,0.787,6944.7,20.48
1874,7/3/1997,348.7,5.21,148.75,375.3,6.0,46.05,1.4798,8.2957,1.6032,1.1386,0.7865,7000.88,19.32
1875,10/3/1997,351.5,5.25,153.13,380.0,6.01,44.8,1.4709999999999999,8.2953,1.6046,1.1481,0.7884,7079.39,19.0
1876,11/3/1997,353.55,5.26,159.25,383.3,6.02,47.2,1.4724,8.2952,1.6077,1.1469,0.7933,7085.16,19.25
1877,12/3/1997,352.3,5.21,151.5,380.0,6.03,44.45,1.4538,8.2953,1.5988,1.1486,0.7948,7039.36,19.61
1878,13/3/1997,353.75,5.3,153.5,382.3,6.08,55.4,1.466,8.2958,1.5953,1.1492,0.7931,6878.89,19.79
1879,14/3/1997,352.25,5.27,151.75,380.0,6.07,50.85,1.4564,8.2956,1.6011,1.1501,0.7983,6935.46,19.81
1880,17/3/1997,347.75,5.21,148.5,378.5,6.09,52.15,1.4609999999999999,8.2958,1.5885,1.1551,0.7924,6955.48,20.95
1881,18/3/1997,349.85,5.18,143.0,375.0,6.11,50.4,1.4391,8.2958,1.5899,1.1625,0.7885,6896.56,21.26
1882,19/3/1997,352.0,5.23,147.5,379.25,6.13,50.25,1.4433,8.2959,1.5978,1.1612,0.7873,6877.68,21.74
1883,20/3/1997,351.5,5.21,150.5,378.45,6.17,44.65,1.4538,8.2959,1.5925,1.1574,0.7859,6820.27,21.22
1884,21/3/1997,352.85,5.15,152.25,379.25,6.21,51.25,1.4575,8.2956,1.6043,1.1601,0.7868,6804.79,19.69
1885,24/3/1997,350.0,5.18,147.5,375.5,6.2,39.5,1.4588,8.2956,1.6195,1.157,0.7895,6905.25,20.06
1886,25/3/1997,347.5,5.11,144.5,372.5,6.26,41.0,1.4645,8.2968,1.6186,1.1551,0.7828,6876.17,19.26
1887,26/3/1997,350.35,5.16,147.0,375.0,6.27,33.3,1.4621,8.296,1.6296,1.1555,0.7852,6880.7,18.32
1888,27/3/1997,348.15,5.12,146.0,371.2,6.34,46.45,1.4496,8.2964,1.6335,1.1654,0.785,6740.58,20.5
1889,28/3/1997,349.75,5.14,145.0,373.0,6.34,48.7,1.4514,8.2963,1.6317,1.1654,0.7834,6740.58,20.5
1890,31/3/1997,351.25,5.07,145.7,367.3,6.33,50.9,1.4488,8.2955,1.6374,1.1654,0.7857,6583.47,22.14
1891,1/4/1997,351.95,5.0,150.5,371.75,6.32,48.7,1.4425,8.2955,1.6488,1.1708,0.7862,6611.04,20.84
1892,2/4/1997,349.05,4.87,146.0,367.25,6.32,48.3,1.4435,8.2963,1.6423,1.1708,0.7841,6517.01,21.3
1893,3/4/1997,348.85,4.75,145.75,364.5,6.32,43.3,1.4348,8.2963,1.6451,1.1726,0.7784,6477.35,21.19
1894,4/4/1997,348.75,4.75,147.95,361.5,6.36,52.0,1.4425,8.2968,1.6346,1.1677,0.7758,6526.07,19.23
1895,7/4/1997,348.05,4.8,151.5,365.25,6.33,44.4,1.4698,8.2963,1.6269,1.1457,0.7758,6555.9,18.51
1896,8/4/1997,348.55,4.79,154.25,365.5,6.36,47.8,1.4747,8.2966,1.6258,1.145,0.7807,6609.16,18.44
1897,9/4/1997,348.05,4.79,161.0,369.3,6.35,46.6,1.4804,8.2965,1.6195,1.1392,0.7852,6563.84,18.56
1898,10/4/1997,348.65,4.79,156.5,370.5,6.35,41.6,1.469,8.2965,1.6238,1.141,0.7853,6540.04,19.01
1899,11/4/1997,346.95,4.74,155.5,369.25,6.41,44.35,1.4613,8.2969,1.6277,1.1371,0.787,6391.69,19.76
1900,14/4/1997,346.25,4.74,154.5,367.2,6.44,54.55,1.4711,8.2964,1.62,1.1378,0.7783,6451.89,19.09
1901,15/4/1997,342.05,4.73,150.6,364.2,6.38,42.6,1.4658,8.2959,1.6286,1.1308,0.7733,6587.15,18.25
1902,16/4/1997,341.55,4.8,151.0,366.5,6.39,48.2,1.4717,8.2956,1.6249,1.1340000000000001,0.7734,6679.87,17.64
1903,17/4/1997,342.55,4.73,153.5,378.5,6.36,47.7,1.4641,8.2951,1.6304,1.1357,0.7758,6658.6,18.71
1904,18/4/1997,341.45,4.72,154.6,376.2,6.33,40.35,1.4553,8.2951,1.6332,1.141,0.7733,6703.55,18.75
1905,21/4/1997,342.9,4.77,155.75,381.5,6.35,46.25,1.4421,8.2948,1.636,1.1485,0.7772,6660.2,20.1
