,Dates,CNY Curncy,log_returns
1,1990-02-01,4.7339,0.0
2,1990-03-01,4.7339,0.0
3,1990-04-01,4.7339,0.0
4,1990-05-01,4.7339,0.0
5,1990-08-01,4.7339,0.0
6,1990-09-01,4.7339,0.0
7,1990-10-01,4.7339,0.0
8,1990-11-01,4.7339,0.0
9,1990-12-01,4.7339,0.0
10,1990-01-15,4.7339,0.0
11,1990-01-16,4.7339,0.0
12,1990-01-17,4.7339,0.0
13,1990-01-18,4.7339,0.0
14,1990-01-19,4.7339,0.0
15,1990-01-22,4.7339,0.0
16,1990-01-23,4.7339,0.0
17,1990-01-24,4.7339,0.0
18,1990-01-25,4.7339,0.0
19,1990-01-26,4.7339,0.0
20,1990-01-29,4.7339,0.0
21,1990-01-30,4.7339,0.0
22,1990-01-31,4.7339,0.0
23,1990-01-02,4.7339,0.0
24,1990-02-02,4.7339,0.0
25,1990-05-02,4.7339,0.0
26,1990-06-02,4.7339,0.0
27,1990-07-02,4.7339,0.0
28,1990-08-02,4.7339,0.0
29,1990-09-02,4.7339,0.0
30,1990-12-02,4.7339,0.0
31,1990-02-13,4.7339,0.0
32,1990-02-14,4.7339,0.0
33,1990-02-15,4.7339,0.0
34,1990-02-16,4.7339,0.0
35,1990-02-19,4.7339,0.0
36,1990-02-20,4.7339,0.0
37,1990-02-21,4.7339,0.0
38,1990-02-22,4.7339,0.0
39,1990-02-23,4.7339,0.0
40,1990-02-26,4.7339,0.0
41,1990-02-27,4.7339,0.0
42,1990-02-28,4.7339,0.0
43,1990-01-03,4.7339,0.0
44,1990-02-03,4.7339,0.0
45,1990-05-03,4.7339,0.0
46,1990-06-03,4.7339,0.0
47,1990-07-03,4.7339,0.0
48,1990-08-03,4.7339,0.0
49,1990-09-03,4.7339,0.0
50,1990-12-03,4.7339,0.0
51,1990-03-13,4.7339,0.0
52,1990-03-14,4.7339,0.0
53,1990-03-15,4.7339,0.0
54,1990-03-16,4.7339,0.0
55,1990-03-19,4.7339,0.0
56,1990-03-20,4.7339,0.0
57,1990-03-21,4.7339,0.0
58,1990-03-22,4.7339,0.0
59,1990-03-23,4.7339,0.0
60,1990-03-26,4.7339,0.0
61,1990-03-27,4.7339,0.0
62,1990-03-28,4.7339,0.0
63,1990-03-29,4.7339,0.0
64,1990-03-30,4.7339,0.0
65,1990-02-04,4.7334,-0.0001056267363377846
66,1990-03-04,4.7334,0.0
67,1990-04-04,4.7339,0.0001056267363377739
68,1990-05-04,4.7339,0.0
69,1990-06-04,4.7339,0.0
70,1990-09-04,4.7339,0.0
71,1990-10-04,4.7339,0.0
72,1990-11-04,4.7339,0.0
73,1990-12-04,4.7339,0.0
74,1990-04-13,4.7339,0.0
75,1990-04-16,4.7339,0.0
76,1990-04-17,4.7339,0.0
77,1990-04-18,4.7339,0.0
78,1990-04-19,4.7339,0.0
79,1990-04-20,4.7339,0.0
80,1990-04-23,4.7339,0.0
81,1990-04-24,4.7339,0.0
82,1990-04-25,4.7339,0.0
83,1990-04-26,4.7339,0.0
84,1990-04-27,4.7339,0.0
85,1990-04-30,4.7339,0.0
86,1990-01-05,4.7339,0.0
87,1990-02-05,4.7339,0.0
88,1990-03-05,4.7339,0.0
89,1990-04-05,4.7339,0.0
90,1990-07-05,4.7339,0.0
91,1990-08-05,4.7339,0.0
92,1990-09-05,4.7339,0.0
93,1990-10-05,4.7339,0.0
94,1990-11-05,4.7339,0.0
95,1990-05-14,4.7339,0.0
96,1990-05-15,4.7339,0.0
97,1990-05-16,4.7339,0.0
98,1990-05-17,4.7339,0.0
99,1990-05-18,4.7339,0.0
100,1990-05-21,4.7339,0.0
101,1990-05-22,4.7339,0.0
102,1990-05-23,4.7339,0.0
103,1990-05-24,4.7339,0.0
104,1990-05-25,4.7339,0.0
105,1990-05-28,4.7339,0.0
106,1990-05-29,4.7339,0.0
107,1990-05-30,4.7339,0.0
108,1990-05-31,4.7339,0.0
109,1990-01-06,4.7339,0.0
110,1990-04-06,4.7339,0.0
111,1990-05-06,4.7339,0.0
112,1990-06-06,4.7339,0.0
113,1990-07-06,4.7339,0.0
114,1990-08-06,4.7339,0.0
115,1990-11-06,4.7339,0.0
116,1990-12-06,4.7339,0.0
117,1990-06-13,4.7339,0.0
118,1990-06-14,4.7339,0.0
119,1990-06-15,4.7339,0.0
120,1990-06-18,4.7339,0.0
121,1990-06-19,4.7334,-0.0001056267363377846
122,1990-06-20,4.7339,0.0001056267363377739
