,Dates,XAU Curncy,log_returns
1,1990-02-01,399.0,-0.00562325755436212
2,1990-03-01,395.0,-0.010075651988741587
3,1990-04-01,396.5,0.003790276173780827
4,1990-05-01,405.0,0.021211026031636406
5,1990-08-01,404.6,-0.0009881423728939692
6,1990-09-01,403.45,-0.002846360439129556
7,1990-10-01,409.1,0.013907060640837438
8,1990-11-01,412.1,0.007306413409418712
9,1990-12-01,416.25,0.010020002949881956
10,1990-01-15,415.6,-0.0015627820695812023
11,1990-01-16,412.75,-0.00688117642483501
12,1990-01-17,410.4,-0.00570978894367766
13,1990-01-18,413.4,0.007283353391108094
14,1990-01-19,408.65,-0.011556603285529139
15,1990-01-22,406.0,-0.006505884360406051
16,1990-01-23,408.25,0.005526572248841748
17,1990-01-24,420.75,0.030159101220340913
18,1990-01-25,415.65,-0.012195273093818355
19,1990-01-26,418.0,0.005637872547659151
20,1990-01-29,418.75,0.0017926506145199274
21,1990-01-30,418.15,-0.0014338633117414905
22,1990-01-31,415.05,-0.007441224926490067
23,1990-01-02,415.8,0.0018053805228678609
24,1990-02-02,417.95,0.00515743272125257
25,1990-05-02,423.0,0.012010370901112897
26,1990-06-02,421.05,-0.00462058757027676
27,1990-07-02,423.75,0.006392067218658776
28,1990-08-02,418.0,-0.013662226169903716
29,1990-09-02,415.5,-0.00599881822925338
30,1990-12-02,418.85,0.008030246304315591
31,1990-02-13,418.05,-0.0019118180037516212
32,1990-02-14,414.6,-0.008286842594387701
33,1990-02-15,416.65,0.004932340826536462
34,1990-02-16,416.5,-0.0003600792213183592
35,1990-02-19,416.5,0.0
36,1990-02-20,419.95,0.008249194964738778
37,1990-02-21,420.0,0.00011905470577790091
38,1990-02-22,417.65,-0.005610950075498707
39,1990-02-23,415.85,-0.004319142887218682
40,1990-02-26,411.3,-0.011001743078318168
41,1990-02-27,407.55,-0.009159250695911971
42,1990-02-28,407.7,0.00036798528474127427
43,1990-01-03,406.3,-0.0034398068315266237
44,1990-02-03,405.05,-0.0030812867171807865
45,1990-05-03,403.2,-0.004577799519341394
46,1990-06-03,405.35,0.0053181746765574136
47,1990-07-03,400.5,-0.012037124925302279
48,1990-08-03,400.7,0.0004992511336850054
49,1990-09-03,399.3,-0.003500003572923121
50,1990-12-03,401.25,0.004871660375050015
51,1990-03-13,397.25,-0.010018869027400306
