,Dates,XPT Curncy,log_returns
1,1990-02-01,504.0,0.0
2,1990-03-01,504.0,0.0
3,1990-04-01,475.5,-0.058209386085923645
4,1990-05-01,475.5,0.0
5,1990-08-01,492.5,0.035127578626698575
6,1990-09-01,492.5,0.0
7,1990-10-01,492.5,0.0
8,1990-11-01,492.75,0.0005074854206859363
9,1990-12-01,492.75,0.0
10,1990-01-15,500.5,0.015605652722445745
11,1990-01-16,500.5,0.0
12,1990-01-17,500.5,0.0
13,1990-01-18,497.5,-0.006012042156627834
14,1990-01-19,497.5,0.0
15,1990-01-22,495.75,-0.0035237891987420842
16,1990-01-23,495.75,0.0
17,1990-01-24,495.75,0.0
18,1990-01-25,498.75,0.006033200804167913
19,1990-01-26,498.75,0.0
20,1990-01-29,507.76,0.017903926794141403
21,1990-01-30,507.76,0.0
22,1990-01-31,507.76,0.0
23,1990-01-02,513.0,0.010266950172554802
24,1990-02-02,513.0,0.0
25,1990-05-02,510.25,-0.005375043480815401
26,1990-06-02,510.25,0.0
27,1990-07-02,510.25,0.0
28,1990-08-02,511.13,0.0017231592898765465
29,1990-09-02,511.13,0.0
30,1990-12-02,508.25,-0.005650508471374655
31,1990-02-13,508.25,0.0
32,1990-02-14,508.25,0.0
33,1990-02-15,517.38,0.017804161683831955
34,1990-02-16,517.38,0.0
35,1990-02-19,519.75,0.004570312545834187
36,1990-02-20,519.75,0.0
37,1990-02-21,519.75,0.0
38,1990-02-22,531.75,0.022825527342224226
39,1990-02-23,531.75,0.0
40,1990-02-26,522.5,-0.017548470241380475
41,1990-02-27,522.5,0.0
42,1990-02-28,522.5,0.0
43,1990-01-03,509.75,-0.024704574384401518
44,1990-02-03,509.75,0.0
45,1990-05-03,508.25,-0.0029469569461085493
46,1990-06-03,508.25,0.0
47,1990-07-03,508.25,0.0
48,1990-08-03,509.5,0.0024564001543234725
49,1990-09-03,509.5,0.0
50,1990-12-03,505.25,-0.008376496379049164
51,1990-03-13,505.25,0.0
52,1990-03-14,505.25,0.0
53,1990-03-15,499.88,-0.010685286666147516
54,1990-03-16,499.88,0.0
55,1990-03-19,502.75,0.0057249590351785415
56,1990-03-20,502.75,0.0
57,1990-03-21,502.75,0.0
58,1990-03-22,489.75,-0.026197971828111268
59,1990-03-23,489.75,0.0
60,1990-03-26,495.13,0.01092529752642631
61,1990-03-27,495.13,0.0
62,1990-03-28,495.13,0.0
63,1990-03-29,479.5,-0.032076460027583575
64,1990-03-30,479.5,0.0
65,1990-02-04,475.0,-0.00942909028885169
66,1990-03-04,475.0,0.0
67,1990-04-04,475.0,0.0
68,1990-05-04,477.0,0.004201686853699977
69,1990-06-04,477.0,0.0
70,1990-09-04,480.5,0.0073107375220059275
71,1990-10-04,480.5,0.0
72,1990-11-04,480.5,0.0
73,1990-12-04,476.75,-0.007834983929818688
74,1990-04-13,476.75,0.0
75,1990-04-16,476.75,0.0
76,1990-04-17,476.75,0.0
77,1990-04-18,476.75,0.0
78,1990-04-19,478.75,0.004186296014327374
79,1990-04-20,478.75,0.0
80,1990-04-23,482.5,0.0078023802841848
81,1990-04-24,482.5,0.0
82,1990-04-25,482.5,0.0
83,1990-04-26,483.25,0.0015531973093996228
84,1990-04-27,483.25,0.0
85,1990-04-30,473.25,-0.020910327999008063
86,1990-01-05,473.25,0.0
87,1990-02-05,473.25,0.0
88,1990-03-05,478.63,0.011304066245260596
89,1990-04-05,478.63,0.0
90,1990-07-05,481.5,0.005978374903487415
91,1990-08-05,481.5,0.0
92,1990-09-05,481.5,0.0
93,1990-10-05,476.88,-0.009641344326509187
94,1990-11-05,476.88,0.0
95,1990-05-14,481.25,0.009121998690322949
96,1990-05-15,481.25,0.0
97,1990-05-16,481.25,0.0
98,1990-05-17,487.73,0.013375088447495635
99,1990-05-18,487.73,0.0
100,1990-05-21,489.75,0.004133082775160546
101,1990-05-22,489.75,0.0
102,1990-05-23,489.75,0.0
103,1990-05-24,501.25,0.02320992179612878
104,1990-05-25,501.25,0.0
105,1990-05-28,501.25,0.0
106,1990-05-29,501.25,0.0
107,1990-05-30,501.25,0.0
108,1990-05-31,499.25,-0.003998006324854362
109,1990-01-06,499.25,0.0
110,1990-04-06,490.69,-0.01729440845805885
111,1990-05-06,490.69,0.0
112,1990-06-06,490.69,0.0
113,1990-07-06,485.75,-0.010118475580316342
114,1990-08-06,485.75,0.0
115,1990-11-06,483.0,-0.005677434604976747
116,1990-12-06,483.0,0.0
117,1990-06-13,483.0,0.0
118,1990-06-14,485.75,0.005677434604976837
119,1990-06-15,485.75,0.0
120,1990-06-18,475.0,-0.022379284222908302
121,1990-06-19,475.0,0.0
122,1990-06-20,475.0,0.0
123,1990-06-21,474.0,-0.0021074823395646983
124,1990-06-22,474.0,0.0
125,1990-06-25,478.25,0.008926286625285735
126,1990-06-26,478.25,0.0
127,1990-06-27,478.25,0.0
128,1990-06-28,478.5,0.0005226025726467128
129,1990-06-29,478.5,0.0
130,1990-02-07,483.0,0.009360442759563672
131,1990-03-07,483.0,0.0
132,1990-04-07,483.0,0.0
133,1990-05-07,488.0,0.010298752200574473
134,1990-06-07,488.0,0.0
135,1990-09-07,488.75,0.001535705446428386
136,1990-10-07,488.75,0.0
137,1990-11-07,488.75,0.0
138,1990-12-07,479.5,-0.01910721697608263
139,1990-07-13,479.5,0.0
140,1990-07-16,473.5,-0.012591981697359962
141,1990-07-17,473.5,0.0
142,1990-07-18,473.5,0.0
143,1990-07-19,472.25,-0.00264340624451399
144,1990-07-20,472.25,0.0
145,1990-07-23,475.63,0.007131734662649912
146,1990-07-24,475.63,0.0
147,1990-07-25,475.63,0.0
148,1990-07-26,477.25,0.003400221561588172
149,1990-07-27,477.25,0.0
150,1990-07-30,476.0,-0.002622608374436995
151,1990-07-31,476.0,0.0
152,1990-01-08,476.0,0.0
153,1990-02-08,484.5,0.017699577099400857
154,1990-03-08,484.5,0.0
155,1990-06-08,484.88,0.0007840063122086221
156,1990-07-08,484.88,0.0
157,1990-08-08,484.88,0.0
158,1990-09-08,478.25,-0.013767829322667336
159,1990-10-08,478.25,0.0
160,1990-08-13,483.63,0.011186543235654605
161,1990-08-14,483.63,0.0
162,1990-08-15,483.63,0.0
163,1990-08-16,497.25,0.027772766178064748
164,1990-08-17,497.25,0.0
165,1990-08-20,503.5,0.012490794424535361
166,1990-08-21,503.5,0.0
167,1990-08-22,503.5,0.0
168,1990-08-23,498.5,-0.009980122756723967
169,1990-08-24,498.5,0.0
170,1990-08-27,498.5,0.0
